TILE;UTM;GEOMETRY
11;19;Polygon ((399051.72673483606195077 5261685.49617717694491148, 409007.51147907919948921 5260914.67892887536436319, 408462.6885632483754307 5253874.1408972255885601, 408462.6885632483754307 5253874.1408972255885601, 408462.6885632483754307 5253874.1408972255885601, 408237.29744015110190958 5250959.39437342993915081, 398281.40933345269877464 5251729.10792991425842047, 398672.75506180891534314 5256789.06526261195540428, 399051.72673483606195077 5261685.49617717694491148))
12;19;Polygon ((384877.48982008942402899 5207770.65900727454572916, 394834.95707386144204065 5207005.82145364210009575, 394070.72921384579967707 5197048.8582030450925231, 384113.15593151608482003 5197812.58176645450294018, 384709.45250130799831823 5205582.64812830649316311, 384709.45250130799831823 5205582.64812830649316311, 384877.48982008942402899 5207770.65900727454572916))
13;19;Polygon ((385642.93668395723216236 5217728.62933875620365143, 395600.29804397840052843 5216962.6796907689422369, 395211.20449379889760166 5211902.50965473428368568, 394834.95707386144204065 5207005.82145364210009575, 384877.48982008942402899 5207770.65900727454572916, 385474.65498134575318545 5215540.64193878136575222, 385474.65498134575318545 5215540.64193878136575222, 385642.93668395723216236 5217728.62933875620365143))
14;19;Polygon ((386409.49462527764262632 5227686.49289523065090179, 396366.75022785115288571 5226919.43305120710283518, 395977.09218394279014319 5221859.31629745475947857, 395977.09218394279014319 5221859.31629745475947857, 395977.09218394279014319 5221859.31629745475947857, 395600.29804397840052843 5216962.6796907689422369, 385642.93668395723216236 5217728.62933875620365143, 386240.96895604743622243 5225498.52894460503011942, 386240.96895604743622243 5225498.52894460503011942, 386409.49462527764262632 5227686.49289523065090179))
15;19;Polygon ((387177.16174375853734091 5237644.24981252197176218, 397134.31172668404178694 5236876.08167323004454374, 396744.0901543406653218 5231816.01813130453228951, 396744.0901543406653218 5231816.01813130453228951, 396744.0901543406653218 5231816.01813130453228951, 396366.75022785115288571 5226919.43305120710283518, 386409.49462527764262632 5227686.49289523065090179, 387008.39252565713832155 5235456.30928127467632294, 387008.39252565713832155 5235456.30928127467632294, 387177.16174375853734091 5237644.24981252197176218))
16;19;Polygon ((387945.9361366587691009 5247601.90022795740514994, 397902.98063923174049705 5246832.62569661159068346, 397512.19650499254930764 5241772.61529528722167015, 397512.19650499254930764 5241772.61529528722167015, 397512.19650499254930764 5241772.61529528722167015, 397134.31172668404178694 5236876.08167323004454374, 387177.16174375853734091 5237644.24981252197176218, 387776.92378797079436481 5245413.98308578319847584, 387776.92378797079436481 5245413.98308578319847584, 387945.9361366587691009 5247601.90022795740514994))
17;19;Polygon ((388715.81589879910461605 5257559.4442803617566824, 398672.75506180891534314 5256789.06526261195540428, 398281.40933345269877464 5251729.10792991425842047, 398281.40933345269877464 5251729.10792991425842047, 398281.40933345269877464 5251729.10792991425842047, 397902.98063923174049705 5246832.62569661159068346, 387945.9361366587691009 5247601.90022795740514994, 388546.56083834695164114 5255371.55049663037061691, 388546.56083834695164114 5255371.55049663037061691, 388715.81589879910461605 5257559.4442803617566824))
18;19;Polygon ((374750.84856973541900516 5206347.34801383689045906, 384709.45250130799831823 5205582.64812830649316311, 384113.15593151608482003 5197812.58176645450294018, 383945.36341323598753661 5195624.54737918172031641, 373986.65152884187409654 5196388.13299075048416853, 374241.96743400988634676 5199717.10432469844818115, 374241.96743400988634676 5199717.10432469844818115, 374750.84856973541900516 5206347.34801383689045906))
19;19;Polygon ((375516.158870576065965 5216306.45420144591480494, 385474.65498134575318545 5215540.64193878136575222, 384877.48982008942402899 5207770.65900727454572916, 384877.48982008942402899 5207770.65900727454572916, 384877.48982008942402899 5207770.65900727454572916, 384709.45250130799831823 5205582.64812830649316311, 374750.84856973541900516 5206347.34801383689045906, 375006.53680339793208987 5209676.28295398317277431, 375006.53680339793208987 5209676.28295398317277431, 375516.158870576065965 5216306.45420144591480494))
20;19;Polygon ((376282.58053255913546309 5226265.45168512500822544, 386240.96895604743622243 5225498.52894460503011942, 385642.93668395723216236 5217728.62933875620365143, 385642.93668395723216236 5217728.62933875620365143, 385642.93668395723216236 5217728.62933875620365143, 385474.65498134575318545 5215540.64193878136575222, 375516.158870576065965 5216306.45420144591480494, 375772.2187983135227114 5219635.35279159341007471, 375772.2187983135227114 5219635.35279159341007471, 376282.58053255913546309 5226265.45168512500822544))
21;19;Polygon ((377050.11165442608762532 5236224.34059791453182697, 387008.39252565713832155 5235456.30928127467632294, 386409.49462527764262632 5227686.49289523065090179, 386409.49462527764262632 5227686.49289523065090179, 386409.49462527764262632 5227686.49289523065090179, 386240.96895604743622243 5225498.52894460503011942, 376282.58053255913546309 5226265.45168512500822544, 376539.01151913171634078 5229594.31396957486867905, 376539.01151913171634078 5229594.31396957486867905, 377050.11165442608762532 5236224.34059791453182697))
22;19;Polygon ((377818.75033247395185754 5246183.1210743747651577, 387776.92378797079436481 5245413.98308578319847584, 387177.16174375853734091 5237644.24981252197176218, 387177.16174375853734091 5237644.24981252197176218, 387177.16174375853734091 5237644.24981252197176218, 387008.39252565713832155 5235456.30928127467632294, 377050.11165442608762532 5236224.34059791453182697, 377306.91306377446744591 5239553.16662147920578718, 377306.91306377446744591 5239553.16662147920578718, 377818.75033247395185754 5246183.1210743747651577))
23;19;Polygon ((378588.49466055654920638 5256141.79325055610388517, 388546.56083834695164114 5255371.55049663037061691, 387945.9361366587691009 5247601.90022795740514994, 387945.9361366587691009 5247601.90022795740514994, 387945.9361366587691009 5247601.90022795740514994, 387776.92378797079436481 5245413.98308578319847584, 377818.75033247395185754 5246183.1210743747651577, 378075.92152772308327258 5249511.91088236216455698, 378588.49466055654920638 5256141.79325055610388517))
24;19;Polygon ((379359.34273009386379272 5266100.3572640186175704, 389317.30176970170577988 5265329.01165380608290434, 388715.81589879910461605 5257559.4442803617566824, 388715.81589879910461605 5257559.4442803617566824, 388546.56083834695164114 5255371.55049663037061691, 378588.49466055654920638 5256141.79325055610388517, 379359.34273009386379272 5266100.3572640186175704))
25;19;Polygon ((364282.17712532647419721 5200481.17152595147490501, 374241.96743400988634676 5199717.10432469844818115, 373986.65152884187409654 5196388.13299075048416853, 373478.51258732029236853 5189757.81677320133894682, 363518.61234404798597097 5190520.76856809575110674, 363880.83506270416546613 5195247.64959681499749422, 363880.83506270416546613 5195247.64959681499749422, 364282.17712532647419721 5200481.17152595147490501))
26;19;Polygon ((365046.8563007460325025 5210441.46366489678621292, 375006.53680339793208987 5209676.28295398317277431, 374750.84856973541900516 5206347.34801383689045906, 374750.84856973541900516 5206347.34801383689045906, 374750.84856973541900516 5206347.34801383689045906, 374241.96743400988634676 5199717.10432469844818115, 364282.17712532647419721 5200481.17152595147490501, 364644.928933963063173 5205207.99994792696088552, 364644.928933963063173 5205207.99994792696088552, 365046.8563007460325025 5210441.46366489678621292))
27;19;Polygon ((365812.64797162916511297 5220401.64511301834136248, 375772.2187983135227114 5219635.35279159341007471, 375516.158870576065965 5216306.45420144591480494, 375516.158870576065965 5216306.45420144591480494, 375516.158870576065965 5216306.45420144591480494, 375006.53680339793208987 5209676.28295398317277431, 365046.8563007460325025 5210441.46366489678621292, 365410.13629862130619586 5215168.23954072315245867, 365410.13629862130619586 5215168.23954072315245867, 365812.64797162916511297 5220401.64511301834136248))
28;19;Polygon ((366579.55023683956824243 5230361.71599990408867598, 376539.01151913171634078 5229594.31396957486867905, 376282.58053255913546309 5226265.45168512500822544, 376282.58053255913546309 5226265.45168512500822544, 376282.58053255913546309 5226265.45168512500822544, 375772.2187983135227114 5219635.35279159341007471, 365812.64797162916511297 5220401.64511301834136248, 366176.45525683392770588 5225128.36850400641560555, 366579.55023683956824243 5230361.71599990408867598))
29;19;Polygon ((367347.56119279429549351 5240321.67645666003227234, 377306.91306377446744591 5239553.16662147920578718, 377050.11165442608762532 5236224.34059791453182697, 377050.11165442608762532 5236224.34059791453182697, 377050.11165442608762532 5236224.34059791453182697, 376539.01151913171634078 5229594.31396957486867905, 366579.55023683956824243 5230361.71599990408867598, 367347.56119279429549351 5240321.67645666003227234))
