TILE;UTM;GEOMETRY
73;18;Polygon ((700891.35958357388153672 5133965.28656166698783636, 710891.35958357388153672 5133965.28656166698783636, 710891.35958357388153672 5123965.28656166698783636, 700891.35958357388153672 5123965.28656166698783636, 700891.35958357388153672 5133965.28656166698783636))
74;18;Polygon ((700891.35958357388153672 5143965.28656166698783636, 710891.35958357388153672 5143965.28656166698783636, 710891.35958357388153672 5133965.28656166698783636, 700891.35958357388153672 5133965.28656166698783636, 700891.35958357388153672 5143965.28656166698783636))
75;18;Polygon ((700891.35958357388153672 5153965.28656166698783636, 710891.35958357388153672 5153965.28656166698783636, 710891.35958357388153672 5143965.28656166698783636, 700891.35958357388153672 5143965.28656166698783636, 700891.35958357388153672 5153965.28656166698783636))
76;18;Polygon ((700891.35958357388153672 5163965.28656166698783636, 710891.35958357388153672 5163965.28656166698783636, 710891.35958357388153672 5153965.28656166698783636, 700891.35958357388153672 5153965.28656166698783636, 700891.35958357388153672 5163965.28656166698783636))
77;18;Polygon ((700891.35958357388153672 5173965.28656166698783636, 710891.35958357388153672 5173965.28656166698783636, 710891.35958357388153672 5163965.28656166698783636, 700891.35958357388153672 5163965.28656166698783636, 700891.35958357388153672 5173965.28656166698783636))
78;18;Polygon ((690891.35958357388153672 5134709.77090051211416721, 700891.35958357388153672 5134709.77090051211416721, 700891.35958357388153672 5124709.77090051211416721, 690891.35958357388153672 5124709.77090051211416721, 690891.35958357388153672 5134709.77090051211416721))
79;18;Polygon ((690891.35958357388153672 5144709.77090051211416721, 700891.35958357388153672 5144709.77090051211416721, 700891.35958357388153672 5134709.77090051211416721, 690891.35958357388153672 5134709.77090051211416721, 690891.35958357388153672 5144709.77090051211416721))
80;18;Polygon ((690891.35958357388153672 5154709.77090051211416721, 700891.35958357388153672 5154709.77090051211416721, 700891.35958357388153672 5144709.77090051211416721, 690891.35958357388153672 5144709.77090051211416721, 690891.35958357388153672 5154709.77090051211416721))
81;18;Polygon ((680891.35958357388153672 5114058.34710402227938175, 690891.35958357388153672 5114058.34710402227938175, 690891.35958357388153672 5104058.34710402227938175, 680891.35958357388153672 5104058.34710402227938175, 680891.35958357388153672 5114058.34710402227938175))
82;18;Polygon ((680891.35958357388153672 5124058.34710402227938175, 690891.35958357388153672 5124058.34710402227938175, 690891.35958357388153672 5114058.34710402227938175, 680891.35958357388153672 5114058.34710402227938175, 680891.35958357388153672 5124058.34710402227938175))
83;18;Polygon ((680891.35958357388153672 5134058.34710402227938175, 690891.35958357388153672 5134058.34710402227938175, 690891.35958357388153672 5124058.34710402227938175, 680891.35958357388153672 5124058.34710402227938175, 680891.35958357388153672 5134058.34710402227938175))
84;18;Polygon ((680891.35958357388153672 5144058.34710402227938175, 690891.35958357388153672 5144058.34710402227938175, 690891.35958357388153672 5134058.34710402227938175, 680891.35958357388153672 5134058.34710402227938175, 680891.35958357388153672 5144058.34710402227938175))
85;18;Polygon ((670891.35958357388153672 5105855.13142181281000376, 680891.35958357388153672 5105855.13142181281000376, 680891.35958357388153672 5095855.13142181281000376, 670891.35958357388153672 5095855.13142181281000376, 670891.35958357388153672 5105855.13142181281000376))
86;18;Polygon ((670891.35958357388153672 5115855.13142181281000376, 680891.35958357388153672 5115855.13142181281000376, 680891.35958357388153672 5105855.13142181281000376, 670891.35958357388153672 5105855.13142181281000376, 670891.35958357388153672 5115855.13142181281000376))
87;18;Polygon ((670891.35958357388153672 5125855.13142181281000376, 680891.35958357388153672 5125855.13142181281000376, 680891.35958357388153672 5115855.13142181281000376, 670891.35958357388153672 5115855.13142181281000376, 670891.35958357388153672 5125855.13142181281000376))
88;18;Polygon ((670891.35958357388153672 5135855.13142181281000376, 680891.35958357388153672 5135855.13142181281000376, 680891.35958357388153672 5125855.13142181281000376, 670891.35958357388153672 5125855.13142181281000376, 670891.35958357388153672 5135855.13142181281000376))
89;18;Polygon ((660891.35958357388153672 5105225.18313509784638882, 670891.35958357388153672 5105225.18313509784638882, 670891.35958357388153672 5095225.18313509784638882, 660891.35958357388153672 5095225.18313509784638882, 660891.35958357388153672 5105225.18313509784638882))
90;18;Polygon ((660891.35958357388153672 5115225.18313509784638882, 670891.35958357388153672 5115225.18313509784638882, 670891.35958357388153672 5105225.18313509784638882, 660891.35958357388153672 5105225.18313509784638882, 660891.35958357388153672 5115225.18313509784638882))
91;18;Polygon ((660891.35958357388153672 5125225.18313509784638882, 670891.35958357388153672 5125225.18313509784638882, 670891.35958357388153672 5115225.18313509784638882, 660891.35958357388153672 5115225.18313509784638882, 660891.35958357388153672 5125225.18313509784638882))
92;18;Polygon ((660891.35958357388153672 5135225.18313509784638882, 670891.35958357388153672 5135225.18313509784638882, 670891.35958357388153672 5125225.18313509784638882, 660891.35958357388153672 5125225.18313509784638882, 660891.35958357388153672 5135225.18313509784638882))
93;18;Polygon ((650891.35958357388153672 5105225.18313509784638882, 660891.35958357388153672 5105225.18313509784638882, 660891.35958357388153672 5095225.18313509784638882, 650891.35958357388153672 5095225.18313509784638882, 650891.35958357388153672 5105225.18313509784638882))
94;18;Polygon ((650891.35958357388153672 5115225.18313509784638882, 660891.35958357388153672 5115225.18313509784638882, 660891.35958357388153672 5105225.18313509784638882, 650891.35958357388153672 5105225.18313509784638882, 650891.35958357388153672 5115225.18313509784638882))
95;18;Polygon ((650891.35958357388153672 5125225.18313509784638882, 660891.35958357388153672 5125225.18313509784638882, 660891.35958357388153672 5115225.18313509784638882, 650891.35958357388153672 5115225.18313509784638882, 650891.35958357388153672 5125225.18313509784638882))
96;18;Polygon ((650891.35958357388153672 5135225.18313509784638882, 660891.35958357388153672 5135225.18313509784638882, 660891.35958357388153672 5125225.18313509784638882, 650891.35958357388153672 5125225.18313509784638882, 650891.35958357388153672 5135225.18313509784638882))
97;18;Polygon ((640891.35958357388153672 5085855.13142181281000376, 650891.35958357388153672 5085855.13142181281000376, 650891.35958357388153672 5075855.13142181281000376, 640891.35958357388153672 5075855.13142181281000376, 640891.35958357388153672 5085855.13142181281000376))
98;18;Polygon ((640891.35958357388153672 5095855.13142181281000376, 650891.35958357388153672 5095855.13142181281000376, 650891.35958357388153672 5085855.13142181281000376, 640891.35958357388153672 5085855.13142181281000376, 640891.35958357388153672 5095855.13142181281000376))
99;18;Polygon ((640891.35958357388153672 5105855.13142181281000376, 650891.35958357388153672 5105855.13142181281000376, 650891.35958357388153672 5095855.13142181281000376, 640891.35958357388153672 5095855.13142181281000376, 640891.35958357388153672 5105855.13142181281000376))
100;18;Polygon ((640891.35958357388153672 5115855.13142181281000376, 650891.35958357388153672 5115855.13142181281000376, 650891.35958357388153672 5105855.13142181281000376, 640891.35958357388153672 5105855.13142181281000376, 640891.35958357388153672 5115855.13142181281000376))
101;18;Polygon ((640891.35958357388153672 5125855.13142181281000376, 650891.35958357388153672 5125855.13142181281000376, 650891.35958357388153672 5115855.13142181281000376, 640891.35958357388153672 5115855.13142181281000376, 640891.35958357388153672 5125855.13142181281000376))
102;18;Polygon ((630891.35958357388153672 5075855.13142181281000376, 640891.35958357388153672 5075855.13142181281000376, 640891.35958357388153672 5065855.13142181281000376, 630891.35958357388153672 5065855.13142181281000376, 630891.35958357388153672 5075855.13142181281000376))
103;18;Polygon ((630891.35958357388153672 5085855.13142181281000376, 640891.35958357388153672 5085855.13142181281000376, 640891.35958357388153672 5075855.13142181281000376, 630891.35958357388153672 5075855.13142181281000376, 630891.35958357388153672 5085855.13142181281000376))
104;18;Polygon ((630891.35958357388153672 5095855.13142181281000376, 640891.35958357388153672 5095855.13142181281000376, 640891.35958357388153672 5085855.13142181281000376, 630891.35958357388153672 5085855.13142181281000376, 630891.35958357388153672 5095855.13142181281000376))
105;18;Polygon ((630891.35958357388153672 5105855.13142181281000376, 640891.35958357388153672 5105855.13142181281000376, 640891.35958357388153672 5095855.13142181281000376, 630891.35958357388153672 5095855.13142181281000376, 630891.35958357388153672 5105855.13142181281000376))
106;18;Polygon ((630891.35958357388153672 5115855.13142181281000376, 640891.35958357388153672 5115855.13142181281000376, 640891.35958357388153672 5105855.13142181281000376, 630891.35958357388153672 5105855.13142181281000376, 630891.35958357388153672 5115855.13142181281000376))
107;18;Polygon ((620891.35958357388153672 5036664.0422899816185236, 630891.35958357388153672 5036664.0422899816185236, 630891.35958357388153672 5026664.0422899816185236, 620891.35958357388153672 5026664.0422899816185236, 620891.35958357388153672 5036664.0422899816185236))
108;18;Polygon ((620891.35958357388153672 5046664.0422899816185236, 630891.35958357388153672 5046664.0422899816185236, 630891.35958357388153672 5036664.0422899816185236, 620891.35958357388153672 5036664.0422899816185236, 620891.35958357388153672 5046664.0422899816185236))
109;18;Polygon ((620891.35958357388153672 5056664.0422899816185236, 630891.35958357388153672 5056664.0422899816185236, 630891.35958357388153672 5046664.0422899816185236, 620891.35958357388153672 5046664.0422899816185236, 620891.35958357388153672 5056664.0422899816185236))
110;18;Polygon ((620891.35958357388153672 5066664.0422899816185236, 630891.35958357388153672 5066664.0422899816185236, 630891.35958357388153672 5056664.0422899816185236, 620891.35958357388153672 5056664.0422899816185236, 620891.35958357388153672 5066664.0422899816185236))
111;18;Polygon ((620891.35958357388153672 5076664.0422899816185236, 630891.35958357388153672 5076664.0422899816185236, 630891.35958357388153672 5066664.0422899816185236, 620891.35958357388153672 5066664.0422899816185236, 620891.35958357388153672 5076664.0422899816185236))
112;18;Polygon ((620891.35958357388153672 5086664.0422899816185236, 630891.35958357388153672 5086664.0422899816185236, 630891.35958357388153672 5076664.0422899816185236, 620891.35958357388153672 5076664.0422899816185236, 620891.35958357388153672 5086664.0422899816185236))
113;18;Polygon ((620891.35958357388153672 5096664.0422899816185236, 630891.35958357388153672 5096664.0422899816185236, 630891.35958357388153672 5086664.0422899816185236, 620891.35958357388153672 5086664.0422899816185236, 620891.35958357388153672 5096664.0422899816185236))
114;18;Polygon ((610891.35958357388153672 5025855.13142181281000376, 620891.35958357388153672 5025855.13142181281000376, 620891.35958357388153672 5015855.13142181281000376, 610891.35958357388153672 5015855.13142181281000376, 610891.35958357388153672 5025855.13142181281000376))
115;18;Polygon ((610891.35958357388153672 5035855.13142181281000376, 620891.35958357388153672 5035855.13142181281000376, 620891.35958357388153672 5025855.13142181281000376, 610891.35958357388153672 5025855.13142181281000376, 610891.35958357388153672 5035855.13142181281000376))
116;18;Polygon ((610891.35958357388153672 5045855.13142181281000376, 620891.35958357388153672 5045855.13142181281000376, 620891.35958357388153672 5035855.13142181281000376, 610891.35958357388153672 5035855.13142181281000376, 610891.35958357388153672 5045855.13142181281000376))
117;18;Polygon ((610891.35958357388153672 5055855.13142181281000376, 620891.35958357388153672 5055855.13142181281000376, 620891.35958357388153672 5045855.13142181281000376, 610891.35958357388153672 5045855.13142181281000376, 610891.35958357388153672 5055855.13142181281000376))
118;18;Polygon ((610891.35958357388153672 5065855.13142181281000376, 620891.35958357388153672 5065855.13142181281000376, 620891.35958357388153672 5055855.13142181281000376, 610891.35958357388153672 5055855.13142181281000376, 610891.35958357388153672 5065855.13142181281000376))
119;18;Polygon ((610891.35958357388153672 5075855.13142181281000376, 620891.35958357388153672 5075855.13142181281000376, 620891.35958357388153672 5065855.13142181281000376, 610891.35958357388153672 5065855.13142181281000376, 610891.35958357388153672 5075855.13142181281000376))
120;18;Polygon ((600891.35958357388153672 5027464.88396491855382919, 610891.35958357388153672 5027464.88396491855382919, 610891.35958357388153672 5017464.88396491855382919, 600891.35958357388153672 5017464.88396491855382919, 600891.35958357388153672 5027464.88396491855382919))
121;18;Polygon ((600891.35958357388153672 5037464.88396491855382919, 610891.35958357388153672 5037464.88396491855382919, 610891.35958357388153672 5027464.88396491855382919, 600891.35958357388153672 5027464.88396491855382919, 600891.35958357388153672 5037464.88396491855382919))
122;18;Polygon ((600891.35958357388153672 5047464.88396491855382919, 610891.35958357388153672 5047464.88396491855382919, 610891.35958357388153672 5037464.88396491855382919, 600891.35958357388153672 5037464.88396491855382919, 600891.35958357388153672 5047464.88396491855382919))
123;18;Polygon ((600891.35958357388153672 5057464.88396491855382919, 610891.35958357388153672 5057464.88396491855382919, 610891.35958357388153672 5047464.88396491855382919, 600891.35958357388153672 5047464.88396491855382919, 600891.35958357388153672 5057464.88396491855382919))
124;18;Polygon ((600891.35958357388153672 5067464.88396491855382919, 610891.35958357388153672 5067464.88396491855382919, 610891.35958357388153672 5057464.88396491855382919, 600891.35958357388153672 5057464.88396491855382919, 600891.35958357388153672 5067464.88396491855382919))
125;18;Polygon ((600891.35958357388153672 5077464.88396491855382919, 610891.35958357388153672 5077464.88396491855382919, 610891.35958357388153672 5067464.88396491855382919, 600891.35958357388153672 5067464.88396491855382919, 600891.35958357388153672 5077464.88396491855382919))
126;18;Polygon ((590891.35958357388153672 5022132.70972758531570435, 600891.35958357388153672 5022132.70972758531570435, 600891.35958357388153672 5012132.70972758531570435, 590891.35958357388153672 5012132.70972758531570435, 590891.35958357388153672 5022132.70972758531570435))
127;18;Polygon ((590891.35958357388153672 5032132.70972758531570435, 600891.35958357388153672 5032132.70972758531570435, 600891.35958357388153672 5022132.70972758531570435, 590891.35958357388153672 5022132.70972758531570435, 590891.35958357388153672 5032132.70972758531570435))
128;18;Polygon ((590891.35958357388153672 5042132.70972758531570435, 600891.35958357388153672 5042132.70972758531570435, 600891.35958357388153672 5032132.70972758531570435, 590891.35958357388153672 5032132.70972758531570435, 590891.35958357388153672 5042132.70972758531570435))
129;18;Polygon ((590891.35958357388153672 5052132.70972758531570435, 600891.35958357388153672 5052132.70972758531570435, 600891.35958357388153672 5042132.70972758531570435, 590891.35958357388153672 5042132.70972758531570435, 590891.35958357388153672 5052132.70972758531570435))
130;18;Polygon ((590891.35958357388153672 5062132.70972758531570435, 600891.35958357388153672 5062132.70972758531570435, 600891.35958357388153672 5052132.70972758531570435, 590891.35958357388153672 5052132.70972758531570435, 590891.35958357388153672 5062132.70972758531570435))
131;18;Polygon ((590891.35958357388153672 5072132.70972758531570435, 600891.35958357388153672 5072132.70972758531570435, 600891.35958357388153672 5062132.70972758531570435, 590891.35958357388153672 5062132.70972758531570435, 590891.35958357388153672 5072132.70972758531570435))
132;18;Polygon ((580891.35958357388153672 5014036.06907880958169699, 590891.35958357388153672 5014036.06907880958169699, 590891.35958357388153672 5004036.06907880958169699, 580891.35958357388153672 5004036.06907880958169699, 580891.35958357388153672 5014036.06907880958169699))
133;18;Polygon ((580891.35958357388153672 5024036.06907880958169699, 590891.35958357388153672 5024036.06907880958169699, 590891.35958357388153672 5014036.06907880958169699, 580891.35958357388153672 5014036.06907880958169699, 580891.35958357388153672 5024036.06907880958169699))
134;18;Polygon ((580891.35958357388153672 5034036.06907880958169699, 590891.35958357388153672 5034036.06907880958169699, 590891.35958357388153672 5024036.06907880958169699, 580891.35958357388153672 5024036.06907880958169699, 580891.35958357388153672 5034036.06907880958169699))
135;18;Polygon ((580891.35958357388153672 5044036.06907880958169699, 590891.35958357388153672 5044036.06907880958169699, 590891.35958357388153672 5034036.06907880958169699, 580891.35958357388153672 5034036.06907880958169699, 580891.35958357388153672 5044036.06907880958169699))
136;18;Polygon ((580891.35958357388153672 5054036.06907880958169699, 590891.35958357388153672 5054036.06907880958169699, 590891.35958357388153672 5044036.06907880958169699, 580891.35958357388153672 5044036.06907880958169699, 580891.35958357388153672 5054036.06907880958169699))
137;18;Polygon ((580891.35958357388153672 5064036.06907880958169699, 590891.35958357388153672 5064036.06907880958169699, 590891.35958357388153672 5054036.06907880958169699, 580891.35958357388153672 5054036.06907880958169699, 580891.35958357388153672 5064036.06907880958169699))
138;18;Polygon ((580891.35958357388153672 5074036.06907880958169699, 590891.35958357388153672 5074036.06907880958169699, 590891.35958357388153672 5064036.06907880958169699, 580891.35958357388153672 5064036.06907880958169699, 580891.35958357388153672 5074036.06907880958169699))
139;18;Polygon ((570891.35958357388153672 5005998.30148697551339865, 580891.35958357388153672 5005998.30148697551339865, 580891.35958357388153672 4995998.30148697551339865, 570891.35958357388153672 4995998.30148697551339865, 570891.35958357388153672 5005998.30148697551339865))
140;18;Polygon ((570891.35958357388153672 5015998.30148697551339865, 580891.35958357388153672 5015998.30148697551339865, 580891.35958357388153672 5005998.30148697551339865, 570891.35958357388153672 5005998.30148697551339865, 570891.35958357388153672 5015998.30148697551339865))
141;18;Polygon ((570891.35958357388153672 5025998.30148697551339865, 580891.35958357388153672 5025998.30148697551339865, 580891.35958357388153672 5015998.30148697551339865, 570891.35958357388153672 5015998.30148697551339865, 570891.35958357388153672 5025998.30148697551339865))
142;18;Polygon ((570891.35958357388153672 5035998.30148697551339865, 580891.35958357388153672 5035998.30148697551339865, 580891.35958357388153672 5025998.30148697551339865, 570891.35958357388153672 5025998.30148697551339865, 570891.35958357388153672 5035998.30148697551339865))
143;18;Polygon ((570891.35958357388153672 5045998.30148697551339865, 580891.35958357388153672 5045998.30148697551339865, 580891.35958357388153672 5035998.30148697551339865, 570891.35958357388153672 5035998.30148697551339865, 570891.35958357388153672 5045998.30148697551339865))
144;18;Polygon ((560891.35958357388153672 5007129.3450017599388957, 570891.35958357388153672 5007129.3450017599388957, 570891.35958357388153672 4997129.3450017599388957, 560891.35958357388153672 4997129.3450017599388957, 560891.35958357388153672 5007129.3450017599388957))
145;18;Polygon ((560891.35958357388153672 5017129.3450017599388957, 570891.35958357388153672 5017129.3450017599388957, 570891.35958357388153672 5007129.3450017599388957, 560891.35958357388153672 5007129.3450017599388957, 560891.35958357388153672 5017129.3450017599388957))
146;18;Polygon ((560891.35958357388153672 5027129.3450017599388957, 570891.35958357388153672 5027129.3450017599388957, 570891.35958357388153672 5017129.3450017599388957, 560891.35958357388153672 5017129.3450017599388957, 560891.35958357388153672 5027129.3450017599388957))
147;18;Polygon ((560891.35958357388153672 5037129.3450017599388957, 570891.35958357388153672 5037129.3450017599388957, 570891.35958357388153672 5027129.3450017599388957, 560891.35958357388153672 5027129.3450017599388957, 560891.35958357388153672 5037129.3450017599388957))
148;18;Polygon ((560891.35958357388153672 5047129.3450017599388957, 570891.35958357388153672 5047129.3450017599388957, 570891.35958357388153672 5037129.3450017599388957, 560891.35958357388153672 5037129.3450017599388957, 560891.35958357388153672 5047129.3450017599388957))
149;18;Polygon ((550891.35958357388153672 4992752.58877604175359011, 560891.35958357388153672 4992752.58877604175359011, 560891.35958357388153672 4982752.58877604175359011, 550891.35958357388153672 4982752.58877604175359011, 550891.35958357388153672 4992752.58877604175359011))
150;18;Polygon ((550891.35958357388153672 5002752.58877604175359011, 560891.35958357388153672 5002752.58877604175359011, 560891.35958357388153672 4992752.58877604175359011, 550891.35958357388153672 4992752.58877604175359011, 550891.35958357388153672 5002752.58877604175359011))
151;18;Polygon ((550891.35958357388153672 5012752.58877604175359011, 560891.35958357388153672 5012752.58877604175359011, 560891.35958357388153672 5002752.58877604175359011, 550891.35958357388153672 5002752.58877604175359011, 550891.35958357388153672 5012752.58877604175359011))
152;18;Polygon ((550891.35958357388153672 5022752.58877604175359011, 560891.35958357388153672 5022752.58877604175359011, 560891.35958357388153672 5012752.58877604175359011, 550891.35958357388153672 5012752.58877604175359011, 550891.35958357388153672 5022752.58877604175359011))
153;18;Polygon ((550891.35958357388153672 5032752.58877604175359011, 560891.35958357388153672 5032752.58877604175359011, 560891.35958357388153672 5022752.58877604175359011, 550891.35958357388153672 5022752.58877604175359011, 550891.35958357388153672 5032752.58877604175359011))
154;18;Polygon ((550891.35958357388153672 5042752.58877604175359011, 560891.35958357388153672 5042752.58877604175359011, 560891.35958357388153672 5032752.58877604175359011, 550891.35958357388153672 5032752.58877604175359011, 550891.35958357388153672 5042752.58877604175359011))
155;18;Polygon ((550891.35958357388153672 5052752.58877604175359011, 560891.35958357388153672 5052752.58877604175359011, 560891.35958357388153672 5042752.58877604175359011, 550891.35958357388153672 5042752.58877604175359011, 550891.35958357388153672 5052752.58877604175359011))
156;18;Polygon ((540891.35958357388153672 4983317.69519987050443888, 550891.35958357388153672 4983317.69519987050443888, 550891.35958357388153672 4973317.69519987050443888, 540891.35958357388153672 4973317.69519987050443888, 540891.35958357388153672 4983317.69519987050443888))
157;18;Polygon ((540891.35958357388153672 4993317.69519987050443888, 550891.35958357388153672 4993317.69519987050443888, 550891.35958357388153672 4983317.69519987050443888, 540891.35958357388153672 4983317.69519987050443888, 540891.35958357388153672 4993317.69519987050443888))
158;18;Polygon ((540891.35958357388153672 5003317.69519987050443888, 550891.35958357388153672 5003317.69519987050443888, 550891.35958357388153672 4993317.69519987050443888, 540891.35958357388153672 4993317.69519987050443888, 540891.35958357388153672 5003317.69519987050443888))
159;18;Polygon ((540891.35958357388153672 5013317.69519987050443888, 550891.35958357388153672 5013317.69519987050443888, 550891.35958357388153672 5003317.69519987050443888, 540891.35958357388153672 5003317.69519987050443888, 540891.35958357388153672 5013317.69519987050443888))
160;18;Polygon ((540891.35958357388153672 5023317.69519987050443888, 550891.35958357388153672 5023317.69519987050443888, 550891.35958357388153672 5013317.69519987050443888, 540891.35958357388153672 5013317.69519987050443888, 540891.35958357388153672 5023317.69519987050443888))
161;18;Polygon ((540891.35958357388153672 5033317.69519987050443888, 550891.35958357388153672 5033317.69519987050443888, 550891.35958357388153672 5023317.69519987050443888, 540891.35958357388153672 5023317.69519987050443888, 540891.35958357388153672 5033317.69519987050443888))
162;18;Polygon ((540891.35958357388153672 5043317.69519987050443888, 550891.35958357388153672 5043317.69519987050443888, 550891.35958357388153672 5033317.69519987050443888, 540891.35958357388153672 5033317.69519987050443888, 540891.35958357388153672 5043317.69519987050443888))
163;18;Polygon ((540891.35958357388153672 5053317.69519987050443888, 550891.35958357388153672 5053317.69519987050443888, 550891.35958357388153672 5043317.69519987050443888, 540891.35958357388153672 5043317.69519987050443888, 540891.35958357388153672 5053317.69519987050443888))
164;18;Polygon ((530891.35958357388153672 4985855.13142181281000376, 540891.35958357388153672 4985855.13142181281000376, 540891.35958357388153672 4975855.13142181281000376, 530891.35958357388153672 4975855.13142181281000376, 530891.35958357388153672 4985855.13142181281000376))
165;18;Polygon ((530891.35958357388153672 4995855.13142181281000376, 540891.35958357388153672 4995855.13142181281000376, 540891.35958357388153672 4985855.13142181281000376, 530891.35958357388153672 4985855.13142181281000376, 530891.35958357388153672 4995855.13142181281000376))
166;18;Polygon ((530891.35958357388153672 5005855.13142181281000376, 540891.35958357388153672 5005855.13142181281000376, 540891.35958357388153672 4995855.13142181281000376, 530891.35958357388153672 4995855.13142181281000376, 530891.35958357388153672 5005855.13142181281000376))
167;18;Polygon ((520891.35958357382332906 4985855.13142181281000376, 530891.35958357388153672 4985855.13142181281000376, 530891.35958357388153672 4975855.13142181281000376, 520891.35958357382332906 4975855.13142181281000376, 520891.35958357382332906 4985855.13142181281000376))
168;18;Polygon ((520891.35958357382332906 4995855.13142181281000376, 530891.35958357388153672 4995855.13142181281000376, 530891.35958357388153672 4985855.13142181281000376, 520891.35958357382332906 4985855.13142181281000376, 520891.35958357382332906 4995855.13142181281000376))
169;18;Polygon ((510891.35958357382332906 4982948.77909901272505522, 520891.35958357382332906 4982948.77909901272505522, 520891.35958357382332906 4972948.77909901272505522, 510891.35958357382332906 4972948.77909901272505522, 510891.35958357382332906 4982948.77909901272505522))
170;18;Polygon ((510891.35958357382332906 4992948.77909901272505522, 520891.35958357382332906 4992948.77909901272505522, 520891.35958357382332906 4982948.77909901272505522, 510891.35958357382332906 4982948.77909901272505522, 510891.35958357382332906 4992948.77909901272505522))
171;18;Polygon ((500891.35958357382332906 4975855.13142181281000376, 510891.35958357382332906 4975855.13142181281000376, 510891.35958357382332906 4965855.13142181281000376, 500891.35958357382332906 4965855.13142181281000376, 500891.35958357382332906 4975855.13142181281000376))
172;18;Polygon ((500891.35958357382332906 4985855.13142181281000376, 510891.35958357382332906 4985855.13142181281000376, 510891.35958357382332906 4975855.13142181281000376, 500891.35958357382332906 4975855.13142181281000376, 500891.35958357382332906 4985855.13142181281000376))
173;18;Polygon ((500891.35958357382332906 4995855.13142181281000376, 510891.35958357382332906 4995855.13142181281000376, 510891.35958357382332906 4985855.13142181281000376, 500891.35958357382332906 4985855.13142181281000376, 500891.35958357382332906 4995855.13142181281000376))
174;18;Polygon ((490891.35958357382332906 4970264.76942882128059864, 500891.35958357382332906 4970264.76942882128059864, 500891.35958357382332906 4960264.76942882128059864, 490891.35958357382332906 4960264.76942882128059864, 490891.35958357382332906 4970264.76942882128059864))
175;18;Polygon ((490891.35958357382332906 4980264.76942882128059864, 500891.35958357382332906 4980264.76942882128059864, 500891.35958357382332906 4970264.76942882128059864, 490891.35958357382332906 4970264.76942882128059864, 490891.35958357382332906 4980264.76942882128059864))
176;18;Polygon ((490891.35958357382332906 4990264.76942882128059864, 500891.35958357382332906 4990264.76942882128059864, 500891.35958357382332906 4980264.76942882128059864, 490891.35958357382332906 4980264.76942882128059864, 490891.35958357382332906 4990264.76942882128059864))
177;18;Polygon ((480891.35958357382332906 4963020.36413159407675266, 490891.35958357382332906 4963020.36413159407675266, 490891.35958357382332906 4953020.36413159407675266, 480891.35958357382332906 4953020.36413159407675266, 480891.35958357382332906 4963020.36413159407675266))
178;18;Polygon ((480891.35958357382332906 4973020.36413159407675266, 490891.35958357382332906 4973020.36413159407675266, 490891.35958357382332906 4963020.36413159407675266, 480891.35958357382332906 4963020.36413159407675266, 480891.35958357382332906 4973020.36413159407675266))
179;18;Polygon ((480891.35958357382332906 4983020.36413159407675266, 490891.35958357382332906 4983020.36413159407675266, 490891.35958357382332906 4973020.36413159407675266, 480891.35958357382332906 4973020.36413159407675266, 480891.35958357382332906 4983020.36413159407675266))
180;18;Polygon ((470891.35958357382332906 4955855.13142181281000376, 480891.35958357382332906 4955855.13142181281000376, 480891.35958357382332906 4945855.13142181281000376, 470891.35958357382332906 4945855.13142181281000376, 470891.35958357382332906 4955855.13142181281000376))
181;18;Polygon ((470891.35958357382332906 4965855.13142181281000376, 480891.35958357382332906 4965855.13142181281000376, 480891.35958357382332906 4955855.13142181281000376, 470891.35958357382332906 4955855.13142181281000376, 470891.35958357382332906 4965855.13142181281000376))
182;18;Polygon ((470891.35958357382332906 4975855.13142181281000376, 480891.35958357382332906 4975855.13142181281000376, 480891.35958357382332906 4965855.13142181281000376, 470891.35958357382332906 4965855.13142181281000376, 470891.35958357382332906 4975855.13142181281000376))
183;18;Polygon ((460891.35958357382332906 4948289.02252957690507174, 470891.35958357382332906 4948289.02252957690507174, 470891.35958357382332906 4938289.02252957690507174, 460891.35958357382332906 4938289.02252957690507174, 460891.35958357382332906 4948289.02252957690507174))
184;18;Polygon ((460891.35958357382332906 4958289.02252957690507174, 470891.35958357382332906 4958289.02252957690507174, 470891.35958357382332906 4948289.02252957690507174, 460891.35958357382332906 4948289.02252957690507174, 460891.35958357382332906 4958289.02252957690507174))
185;18;Polygon ((460891.35958357382332906 4968289.02252957690507174, 470891.35958357382332906 4968289.02252957690507174, 470891.35958357382332906 4958289.02252957690507174, 460891.35958357382332906 4958289.02252957690507174, 460891.35958357382332906 4968289.02252957690507174))
186;18;Polygon ((450891.35958357382332906 4940207.50140275619924068, 460891.35958357382332906 4940207.50140275619924068, 460891.35958357382332906 4930207.50140275619924068, 450891.35958357382332906 4930207.50140275619924068, 450891.35958357382332906 4940207.50140275619924068))
187;18;Polygon ((450891.35958357382332906 4950207.50140275619924068, 460891.35958357382332906 4950207.50140275619924068, 460891.35958357382332906 4940207.50140275619924068, 450891.35958357382332906 4940207.50140275619924068, 450891.35958357382332906 4950207.50140275619924068))
188;18;Polygon ((450891.35958357382332906 4960207.50140275619924068, 460891.35958357382332906 4960207.50140275619924068, 460891.35958357382332906 4950207.50140275619924068, 450891.35958357382332906 4950207.50140275619924068, 450891.35958357382332906 4960207.50140275619924068))
